Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/todos,8203,1,12,36.15741239699492,2.1097999997437,2316.8911000248045,135.8484700719249,68.65159110643778,0.008369083397103228,12,17,22,25,35,47,250,800,1900,2300,2300
DELETE,/todos/[delete_id],7514,0,12,33.74879949432787,5.2192999282851815,2069.1262999316677,25.852541921746074,62.88529264583366,0.0,12,16,19,21,30,44,250,770,1900,2100,2100
GET,/todos/[get_id],7853,1,6,22.582197631178566,2.4650999112054706,2109.530200017616,135.84184388131925,65.72241191745165,0.008369083397103228,6,8,10,11,16,23,150,540,1700,2100,2100
,Aggregated,23570,2,10,30.86659869709691,2.1097999997437,2316.8911000248045,100.780101824353,197.2592956697231,0.016738166794206456,10,13,17,19,29,42,200,690,1900,2100,2300
