Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/todos/[get_id],"ConnectionResetError(10054, 'Foi forçado o cancelamento de uma conexão existente pelo host remoto', None, 10054, None)",1,2026-09-06T06:45:25Z,2026-09-06T06:45:25Z
POST,/todos,"ConnectionResetError(10054, 'Foi forçado o cancelamento de uma conexão existente pelo host remoto', None, 10054, None)",1,2026-09-06T06:46:14Z,2026-09-06T06:46:14Z
